四川成都电信组播,#genre#
陕西农林卫视 576,http://125.71.247.101:8889/udp/239.93.0.100:5140
SiTV东方财经 576,http://125.71.247.101:8889/udp/239.93.0.249:5140
SiTV欢笑剧场 576,http://125.71.247.101:8889/udp/239.93.0.145:5140
SiTV生活时尚 576,http://125.71.247.101:8889/udp/239.93.0.106:5140
SiTV魅力足球 576,http://125.71.247.101:8889/udp/239.93.1.153:5140
上海第一财经 576,http://125.71.247.101:8889/udp/239.93.0.141:5140
上海哈哈炫动 576,http://125.71.247.101:8889/udp/239.93.0.173:5140
北京卡酷少儿 576,http://125.71.247.101:8889/udp/239.93.0.208:5140
湖南金鹰卡通 576,http://125.71.247.101:8889/udp/239.93.0.108:5140
广东嘉佳卡通 576,http://125.71.247.101:8889/udp/239.93.0.246:5140
江苏优漫卡通 576,http://125.71.247.101:8889/udp/239.93.0.251:5140
江苏财富天下 576,http://125.71.247.101:8889/udp/239.93.0.116:9136
汽车频道 576,http://125.71.247.101:8889/udp/239.93.0.117:1292
美食旅游 576,http://125.71.247.101:8889/udp/239.93.0.165:2104
音乐现场 576,http://125.71.247.101:8889/udp/239.93.0.198:9044
戏曲 576,http://125.71.247.101:8889/udp/239.93.0.217:9208
解密 576,http://125.71.247.101:8889/udp/239.93.0.199:9048
足球 576,http://125.71.247.101:8889/udp/239.93.0.197:9040
食尚 576,http://125.71.247.101:8889/udp/239.93.0.237:1284
传奇 576,http://125.71.247.101:8889/udp/239.93.0.235:1282
军事 576,http://125.71.247.101:8889/udp/239.93.0.204:9076
台球 576,http://125.71.247.101:8889/udp/239.93.0.203:9072
地理 576,http://125.71.247.101:8889/udp/239.93.0.200:9052
墨宝 576,http://125.71.247.101:8889/udp/239.93.0.215:9132
大爱四川 320,http://125.71.247.101:8889/udp/239.93.0.25:5140
大爱旅游 720,http://125.71.247.101:8889/udp/239.93.1.234:5140
大爱时尚 720,http://125.71.247.101:8889/udp/239.93.1.157:4120
大爱生活 720,http://125.71.247.101:8889/udp/239.93.1.235:5140
资讯新干线 576,http://125.71.247.101:8889/udp/239.93.0.236:1283
四川国际 576,http://125.71.247.101:8889/udp/239.93.1.170:5140
四川科教 576,http://125.71.247.101:8889/udp/239.93.0.221:5140
四川峨眉电影 576,http://125.71.247.101:8889/udp/239.93.0.252:5140
睛彩四川 576,http://125.71.247.101:8889/udp/239.93.0.126:5140
成都少儿 576,http://125.71.247.101:8889/udp/239.93.0.21:1251
成都影视文艺 576,http://125.71.247.101:8889/udp/239.93.0.19:1250
成都经济资讯 576,http://125.71.247.101:8889/udp/239.93.0.17:1239
成都美食天府 576,http://125.71.247.101:8889/udp/239.93.0.23:1253
成都蓉城先锋 576,http://125.71.247.101:8889/udp/239.93.0.91:2101
成都都市生活 576,http://125.71.247.101:8889/udp/239.93.0.18:1238
绵阳公共 576,http://125.71.247.101:8889/udp/239.93.1.59:5140
百视通 576,http://125.71.247.101:8889/udp/239.93.0.105:5140
百视通 576,http://125.71.247.101:8889/udp/239.93.0.138:5140
百视通 576,http://125.71.247.101:8889/udp/239.93.0.139:5140
百视通 576,http://125.71.247.101:8889/udp/239.93.0.140:5140
百视通 576,http://125.71.247.101:8889/udp/239.93.0.143:5140
百视通 576,http://125.71.247.101:8889/udp/239.93.0.95:5140
百视通 576,http://125.71.247.101:8889/udp/239.93.0.146:5140
百视通 576,http://125.71.247.101:8889/udp/239.93.0.147:5140
百视通 576,http://125.71.247.101:8889/udp/239.93.0.144:5140
百视通 576,http://125.71.247.101:8889/udp/239.93.0.129:5140
爱齐鲁,#genre#
长清新闻,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=jncqxw
长清生活,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=jncqsh
济铁电视台,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=jnjrtv
济阳综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=jnjyzh
济阳影视,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=jnjyys
历城新闻综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=jnlcxw
平阴综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=jnpyzh
平阴乡村振兴,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=jnpyxc
商河综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=jnshzh
商河影视,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=jnshys
章丘综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=jnzqzh
章丘公共,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=jnzqgg
东营新闻综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=dyxwzh
东营公共,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=dygg
东营公共,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=dygg2
东营科教,,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=dykj
东营区新闻综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=dydyqxw
东营区科教影视,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=dydyqkj
广饶综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=dygrzh
广饶科教文艺,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=dygrkj
垦利新闻综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=dyklxw
利津综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=dyljzh
利津文化生活,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=dyljwh
黄岛综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=qdhdzh
黄岛生活,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=qdhdsh
即墨综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=qdjmzh
即墨生活服务,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=qdjmsh
胶州综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=qdjzzh
胶州生活,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=qdjzsh
李沧TV,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=qdlc
崂山TV,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=qdls
莱西综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=qdlxzh
莱西生活,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=qdlxsh
平度新闻综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=qdpdxw
平度生活服务,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=qdpdsh
潍坊新闻综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfxwzh
潍坊生活,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfsh
潍坊影视综艺,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfyswy
潍坊科教文旅,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfkjwl
潍坊高新区,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfgxq
安丘综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfaqzh
安丘民生,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfaqms
滨海新闻综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfbhxw
昌乐综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfclzh
昌邑综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfcyzh
昌邑经济生活,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfcyjj
坊子新闻综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wffzxw
高密综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfgmzh
高密党建农科,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfgmdj
潍坊高新区电视,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfgxq
寒亭新闻,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfhtxw
奎文电视台,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfkwtv
临朐新闻综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wflqxw
青州综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfqzzh
青州文化旅游,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfqzwh
潍城TV,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfwc
诸城新闻综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfzcxw
诸城生活娱乐,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=wfzcsh
长岛TV,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytcd
福山综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytfszh
福山生活(无信号),http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytfssh
海阳综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ythyzh
龙口综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytlkzh
龙口生活,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytlksh
莱山综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytlszh
莱山影视,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytlsys
莱阳综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytlyzh
莱阳民生综艺,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytlyms
莱州综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytlzzh
牟平综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytmpzh
蓬莱综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytplzh
蓬莱综艺,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytplzy
栖霞综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytqxzh
栖霞苹果,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytqxpg
招远综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytzyzh
招远综艺,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=ytzyzy
博山新闻,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=zbbsxw
博山图文,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=zbbstw
高青综合,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=zbgqzh
高青影视,http://qingfeng.hppro1.hpnu.cn/qilu.php?id=zbgqys
