河北联通组网,#genre#
慢直播9,http://121.29.84.164:5000/rtp/239.253.94.9:6608
慢直播10,http://121.29.84.164:5000/rtp/239.253.94.10:6609
慢直播11,http://121.29.84.164:5000/rtp/239.253.94.11:6610
慢直播12,http://121.29.84.164:5000/rtp/239.253.94.12:6611
慢直播13,http://121.29.84.164:5000/rtp/239.253.94.13:6612
慢直播14,http://121.29.84.164:5000/rtp/239.253.94.14:6613
慢直播15,http://121.29.84.164:5000/rtp/239.253.94.15:6614
慢直播16,http://121.29.84.164:5000/rtp/239.253.94.16:6615
慢直播17,http://121.29.84.164:5000/rtp/239.253.94.17:6616
慢直播18,http://121.29.84.164:5000/rtp/239.253.94.18:6617
慢直播19,http://121.29.84.164:5000/rtp/239.253.94.19:6618
慢直播20,http://121.29.84.164:5000/rtp/239.253.94.20:6619
慢直播21,http://121.29.84.164:5000/rtp/239.253.94.21:6620
慢直播22,http://121.29.84.164:5000/rtp/239.253.94.22:6621
慢直播23,http://121.29.84.164:5000/rtp/239.253.94.23:6622
慢直播24,http://121.29.84.164:5000/rtp/239.253.94.24:6623
慢直播九屏1,http://121.29.84.164:5000/rtp/239.253.94.25:6624
慢直播九屏2,http://121.29.84.164:5000/rtp/239.253.94.26:6625
慢直播九屏3,http://121.29.84.164:5000/rtp/239.253.94.27:6626
4K频道,http://121.29.84.164:5000/rtp/239.253.92.114:6187
羽毛球专区,http://121.29.84.164:5000/rtp/239.253.93.202:6380
点掌财经专区,http://121.29.84.164:5000/rtp/239.253.92.236:6448
主视角-4K,http://121.29.84.164:5000/rtp/239.253.93.123:6291
主视角-高清,http://121.29.84.164:5000/rtp/239.253.93.124:6292
辅视角1-高清,http://121.29.84.164:5000/rtp/239.253.93.125:6293
辅视角 2-高清,http://121.29.84.164:5000/rtp/239.253.93.126:6294
辅视角 3-高清,http://121.29.84.164:5000/rtp/239.253.93.127:6295
主视角-标清,http://121.29.84.164:5000/rtp/239.253.93.128:6296
辅视角 1-标清,http://121.29.84.164:5000/rtp/239.253.93.129:6297
辅视角 2-标清,http://121.29.84.164:5000/rtp/239.253.93.130:6298
辅视角 3-标清,http://121.29.84.164:5000/rtp/239.253.93.131:6299
临时直播频道2,http://121.29.84.164:5000/rtp/239.253.92.21:6226
临时直播频道3,http://121.29.84.164:5000/rtp/239.253.92.216:6227
临时直播频道4,http://121.29.84.164:5000/rtp/239.253.92.219:6228
临时直播频道5,http://121.29.84.164:5000/rtp/239.253.92.220:6229
九屏直播频道,http://121.29.84.164:5000/rtp/239.253.92.203:6150
临时直播,http://121.29.84.164:5000/rtp/239.253.92.116:6029
党教,http://121.29.84.164:5000/rtp/239.253.92.125:6024
广州综合[1280x720],http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州法治[1280x720],http://php.jdshipin.com:8880/gztv.php?id=fazhi
湖南电视剧[640x360],http://php.jdshipin.com:8880/iptv.php?id=hndsj
湖南电影[640x360],http://php.jdshipin.com:8880/iptv.php?id=hndy
甘肃卫视[1280x720],rtmp://livein.gstv.com.cn/49048r/y3nga4
文化影视[1280x720],rtmp://livein.gstv.com.cn/49048r/068vw9
公共应急[1280x720],rtmp://livein.gstv.com.cn/49048r/2v86i8
少儿频道[1280x720],rtmp://livein.gstv.com.cn/49048r/4o7e76
都市频道[1280x720],rtmp://livein.gstv.com.cn/49048r/oj57of
移动电视[1280x720],rtmp://livein.gstv.com.cn/49048r/y72q36
张家口公共频道[1280x720],http://nlive.zjkgdcs.com:8091/live/zjktv2.m3u8
张家口新闻综合频道[1280x720],http://nlive.zjkgdcs.com:8091/live/xwzhpd.m3u8
保定新闻[1024x576],http://jwcdnqx.hebyun.com.cn/live/jybd/1500k/tzwj_video.m3u8
保定公共[1024x576],http://jwcdnqx.hebyun.com.cn/live/bdxw1/1500k/tzwj_video.m3u8
保定生活[1024x576],http://jwcdnqx.hebyun.com.cn/live/bddst/1500k/tzwj_video.m3u8
衡山[1280x720],http://live.hznet.tv:1935/live/live1/500K/tzwj_video.m3u8
广东｜广州影视[1280x720],http://php.jdshipin.com:8880/gztv.php?id=yingshi
综合[1920x1080],http://test5.btzx.com.cn/live/kkdl.stream/playlist.m3u8
可克达拉综合[720x576],rtmp://liveout.btzx.com.cn/62ds9e/4nxdih
双河新闻[720x576],http://liveout.btzx.com.cn/62ds9e/4nxdih.m3u8
双河新闻[720x576],http://liveout.btzx.com.cn/62ds9e/4nxdih.flv
双河新闻[720x576],rtmp://liveout.btzx.com.cn/62ds9e/4nxdih
双河影视[1920x1080],http://liveout.btzx.com.cn/62ds9e/6o77s4.m3u8
双河影视[720x576],http://liveout.btzx.com.cn/62ds9e/6o77s4.flv
双河影视[720x576],rtmp://liveout.btzx.com.cn/62ds9e/6o77s4
五家渠新闻[720x404],http://liveout.btzx.com.cn/62ds9e/d9vi5g.m3u8
五家渠新闻[720x404],rtmp://liveout.btzx.com.cn/62ds9e/d9vi5g
石河子新闻[1920x1080],http://124.88.144.73:1935/live/xwzh/playlist.m3u8
石河子教育[1920x1080],http://124.88.144.73:1935/live/jiaoyu/playlist.m3u8
新星综合[1920x1080],http://test5.btzx.com.cn/live/13TV.stream/playlist.m3u8
昆玉综合[1920x1080],http://test5.btzx.com.cn/live/14TV.stream/playlist.m3u8
克拉玛依汉语综合[1280x720],http://klmysjtzb.rcsxzx.com/hls/klmy1.m3u8
克拉玛依综合[1280x720],http://klmysjtzb.rcsxzx.com/hls/klmy2.m3u8
克拉玛依影视[1280x720],http://klmysjtzb.rcsxzx.com/hls/klmy3.m3u8
伊犁汉语综合[1920x1080],http://110.153.180.106:55555/out_1/index.m3u8
伊犁维语综合[1920x1080],http://110.153.180.106:55555/out_2/index.m3u8
伊犁汉语综合[1920x1080],http://110.153.180.106:55555/out_1/index.m3u8
伊犁经济法制[1920x1080],http://110.153.180.106:55555/out_4/index.m3u8
奎屯汉语综合[1920x1080],http://218.84.12.186:8001/hls/main/playlist.m3u8
塔城[1920x1080],http://218.84.35.38:3000/m3u8/live/tctv-1/index.m3u8
塔城[1920x1080],rtmp://218.84.35.38/live/tctv-1
塔城二[1920x1080],http://218.84.35.38:3000/m3u8/live/tctv-2/index.m3u8
塔城二[1920x1080],rtmp://218.84.35.38/live/tctv-2
塔城三[1920x1080],http://218.84.35.38:3000/m3u8/live/tctv-3/index.m3u8
塔城三[1920x1080],rtmp://218.84.35.38/live/tctv-3
